NCM;DESCRIÇÃO;ALÍQUOTA (%)
84.73;Partes e acessórios (exceto estojos, capas e semelhantes) reconhecíveis como exclusiva ou principalmente destinados às máquinas ou aparelhos das posições 84.69 a 84.72.;
84.74;"Máquinas e aparelhos para selecionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluindo os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólidos, pastas cerâmicas, cimento, gesso ou outras matérias minerais em pó ou em pasta; máquinas para fazer moldes de areia para fundição.";
84.75;"Máquinas para montagem de lâmpadas, tubos ou válvulas, elétricos ou eletrônicos, ou de lâmpadas de luz relâmpago (flash), que tenham invólucro de vidro; máquinas para fabricação ou trabalho a quente do vidro ou das suas obras.";
84.76;Máquinas automáticas de venda de produtos (por exemplo, selos, cigarros, alimentos ou bebidas), incluindo as máquinas de trocar dinheiro.;
84.77;Máquinas e aparelhos para trabalhar borracha ou plásticos ou para fabricação de produtos dessas matérias, não especificados nem compreendidos noutras posições deste Capítulo.;
84.78;Máquinas e aparelhos para preparar ou transformar tabaco, não especificados nem compreendidos noutras posições deste Capítulo.;
84.79;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;
84.80;"Caixas de fundição; placas de fundo para moldes; modelos para moldes; moldes para metais (exceto lingoteiras), carbonetos metálicos, vidro, matérias minerais, borracha ou plásticos.";
84.81;Torneiras, válvulas (incluindo as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes.;
84.82;Rolamentos de esferas, de roletes ou de agulhas.;
84.83;"Árvores de transmissão (incluindo as árvores de cames e virabrequins) e manivelas; mancais (chumaceiras) e ""bronzes""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluindo os conversores de torque; volantes e polias, incluindo as polias para cadernais; embreagens e dispositivos de acoplamento, incluindo as juntas de articulação.";
84.84;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas.";
84.86;"Máquinas e aparelhos dos tipos utilizados exclusiva ou principalmente na fabricação de ""esferas"" (boules) ou de plaquetas (wafers), de dispositivos semicondutores, de circuitos integrados eletrônicos ou de dispositivos de visualização de tela plana; máquinas e aparelhos especificados na Nota 9 C) do presente Capítulo; partes e acessórios.";
84.87;Partes de máquinas ou de aparelhos, não especificadas nem compreendidas noutras posições do presente Capítulo, que não contenham conexões elétricas, partes isoladas eletricamente, bobinas, contatos nem quaisquer outros elementos com características elétricas.;
8401.10.00;- Reatores nucleares;0
8401.20.00;- Máquinas e aparelhos para a separação de isótopos, e suas partes;0
8401.30.00;- Elementos combustíveis (cartuchos) não irradiados;0
8401.40.00;- Partes de reatores nucleares;0
8402.1;- Caldeiras de vapor:;
8402.11.00;-- Caldeiras aquatubulares com produção de vapor superior a 45 t por hora;0
8402.12.00;-- Caldeiras aquatubulares com produção de vapor não superior a 45 t por hora;0
8402.19.00;-- Outras caldeiras para produção de vapor, incluindo as caldeiras mistas;0
8402.20.00;"- Caldeiras denominadas ""de água superaquecida""";0
8402.90.00;- Partes;0
8403.10;- Caldeiras;
8403.10.10;Com capacidade inferior ou igual a 200.000 kcal/hora;0
8403.10.90;Outras;0
8403.90.00;- Partes;5
8404.10;- Aparelhos auxiliares para caldeiras das posições 84.02 ou 84.03;
8404.10.10;Da posição 84.02;0
8404.10.20;Da posição 84.03;0
8404.20.00;- Condensadores para máquinas a vapor;0
8404.90;- Partes;
8404.90.10;De aparelhos auxiliares para caldeiras da posição 84.02;5
8404.90.90;Outras;5
8405.10.00;"- Geradores de gás de ar (gás pobre) ou de gás de água, com ou sem depuradores; geradores de acetileno e geradores semelhantes de gás, operados a água, com ou sem depuradores";0
8405.90.00;- Partes;5
8406.10.00;- Turbinas para propulsão de embarcações;5
8406.8;- Outras turbinas:;
8406.81.00;-- De potência superior a 40 MW;0
8406.82.00;-- De potência não superior a 40 MW;0
8406.90;- Partes;
8406.90.1;Rotores;
8406.90.11;De turbinas a reação, de múltiplos estágios;5
8406.90.19;Outras;5
8406.90.2;Palhetas;
8406.90.21;Fixas (de estator);5
8406.90.29;Outras;5
8406.90.90;Outras;0
8407.10.00;- Motores para aviação;5
8407.2;- Motores para propulsão de embarcações:;
8407.21;-- Do tipo fora-de-borda;
8407.21.10;Monocilíndricos;5
8407.21.90;Outros;5
8407.29;-- Outros;
8407.29.10;Monocilíndricos;5
8407.29.90;Outros;5
8407.3;- Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87:;
8407.31;-- De cilindrada não superior a 50 cm3;
8407.31.10;Monocilíndricos;5
8407.31.90;Outros;5
8407.32.00;-- De cilindrada superior a 50 cm3, mas não superior a 250 cm3;5
8407.33;-- De cilindrada superior a 250 cm3, mas não superior a 1.000 cm3;
8407.33.10;Monocilíndricos;5
8407.33.90;Outros;5
8407.34;-- De cilindrada superior a 1.000 cm3;
8407.34.10;Monocilíndricos;5
8407.34.90;Outros;5
8407.90.00;- Outros motores;0
8408.10;- Motores para propulsão de embarcações;
8408.10.10;Do tipo fora-de-borda;5
8408.10.90;Outros;5
8408.20;- Motores dos tipos utilizados para propulsão de veículos do Capítulo 87;
8408.20.10;De cilindrada inferior ou igual a 1.500 cm3;5
8408.20.20;De cilindrada superior a 1.500 cm3, mas inferior ou igual a 2.500 cm3;5
8408.20.30;De cilindrada superior a 2.500 cm3, mas inferior ou igual a 3.500 cm3;5
8408.20.90;Outros;5
8408.90;- Outros motores;
8408.90.10;Estacionários, de potência normal ISO superior a 412,5 kW (550 HP), segundo Norma ISO 3046/1;0
8408.90.90;Outros;0
8409.10.00;- De motores para aviação;5
8409.9;- Outras:;
8409.91;-- Reconhecíveis como exclusiva ou principalmente destinadas aos motores de pistão, de ignição por centelha;
8409.91.1;Bielas, blocos de cilindros, cabeçotes, cárteres, carburadores, válvulas de admissão ou de escape, coletores de admissão ou de escape, anéis de segmento e guias de válvulas;
8409.91.11;Bielas;5
8409.91.12;Blocos de cilindros, cabeçotes e cárteres;5
8409.91.13;Carburadores, com bomba e dispositivo de compensação de nível de combustível incorporados, ambos a membrana, de diâmetro de venturi inferior ou igual a 22,8 mm e peso inferior ou igual a 280 g;5
8409.91.14;Válvulas de admissão ou de escape;5
8409.91.15;Coletores de admissão ou de escape;5
8409.91.16;Anéis de segmento;5
8409.91.17;Guias de válvulas;5
8409.91.18;Outros carburadores;5
8409.91.20;Pistões ou êmbolos;5
8409.91.30;Camisas de cilindro;5
8409.91.40;Injeção eletrônica;15
8409.91.90;Outras;5
8409.99;-- Outras;
8409.99.1;Blocos de cilindros, cárteres, válvulas de admissão ou de escape, coletores de admissão ou escape e guias de válvulas;
8409.99.12;Blocos de cilindros e cárteres;5
8409.99.14;Válvulas de admissão ou de escape;5
8409.99.15;Coletores de admissão ou de escape;5
8409.99.17;Guias de válvulas;5
8409.99.2;Pistões ou êmbolos;
8409.99.21;Com diâmetro superior ou igual a 200 mm;5
8409.99.29;Outros;5
8409.99.30;Camisas de cilindro;5
8409.99.4;Bielas;
8409.99.41;Com peso superior ou igual a 30 kg;5
8409.99.49;Outras;5
8409.99.5;Cabeçotes;
8409.99.51;Com diâmetro superior ou igual a 200 mm;5
8409.99.59;Outros;5
8409.99.6;Injetores (incluindo os bicos injetores);
8409.99.61;Com diâmetro superior ou igual a 20 mm;5
8409.99.69;Outros;5
8409.99.7;Anéis de segmento;
8409.99.71;Com diâmetro superior ou igual a 200 mm;5
8409.99.79;Outros;5
8409.99.9;Outras;
8409.99.91;Camisas de cilindro soldadas a cabeçotes, com diâmetro superior ou igual a 200 mm;5
8409.99.99;Outras;5
8410.1;- Turbinas e rodas hidráulicas:;
8410.11.00;-- De potência não superior a 1.000 kW;0
8410.12.00;-- De potência superior a 1.000 kW, mas não superior a 10.000 kW;0
8410.13.00;-- De potência superior a 10.000 kW;0
8410.90.00;- Partes, incluindo os reguladores;0
8411.1;- Turborreatores:;
8411.11.00;-- De empuxo não superior a 25 kN;5
8411.12.00;-- De empuxo superior a 25 kN;5
8411.2;- Turbopropulsores:;
8411.21.00;-- De potência não superior a 1.100 kW;5
8411.22.00;-- De potência superior a 1.100 kW;5
8411.8;- Outras turbinas a gás:;
8411.81.00;-- De potência não superior a 5.000 kW;0
8411.82.00;-- De potência superior a 5.000 kW;5
8411.9;- Partes:;
8411.91.00;-- De turborreatores ou de turbopropulsores;5
8411.99.00;-- Outras;5
8412.10.00;- Propulsores a reação, excluindo os turborreatores;0
8412.2;- Motores hidráulicos:;
8412.21;-- De movimento retilíneo (cilindros);
8412.21.10;Cilindros hidráulicos;0
8412.21.90;Outros;0
8412.29.00;-- Outros;0
8412.3;- Motores pneumáticos:;
8412.31;-- De movimento retilíneo (cilindros);
8412.31.10;Cilindros pneumáticos;0
8412.31.90;Outros;0
8412.39.00;-- Outros;0
8412.80.00;- Outros;0
8412.90;- Partes;
8412.90.10;De propulsores a reação;0
8412.90.20;De máquinas a vapor de movimento retilíneo (cilindros);0
8412.90.80;Outras, de máquinas das subposições 8412.21 ou 8412.31;0
8412.90.90;Outras;0
8413.1;- Bombas com dispositivo medidor ou concebidas para comportá-lo:;
8413.11.00;-- Bombas para distribuição de combustíveis ou lubrificantes, dos tipos utilizados em postos de serviço ou garagens;5
8413.19.00;-- Outras;5
8413.20.00;- Bombas manuais, exceto das subposições 8413.11 ou 8413.19;5
8413.30;- Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;
8413.30.10;Para gasolina ou álcool;5
8413.30.20;Injetoras de combustível para motor de ignição por compressão;5
8413.30.30;Para óleo lubrificante;5
8413.30.90;Outras;5
8413.40.00;- Bombas para concreto;0
8413.50;- Outras bombas volumétricas alternativas;
8413.50.10;De potência superior a 3,73 kW (5 HP) e inferior ou igual a 447,42 kW (600 HP), excluídas as para oxigênio líquido;0
8413.50.90;Outras;0
8413.60;- Outras bombas volumétricas rotativas;
8413.60.1;De vazão inferior ou igual a 300 l/min;
8413.60.11;De engrenagem;0
8413.60.19;Outras;0
8413.60.90;Outras;0
8413.70;- Outras bombas centrífugas;
8413.70.10;Eletrobombas submersíveis;5
8413.70.80;Outras, de vazão inferior ou igual a 300 l/min;5
8413.70.90;Outras;0
8413.8;"- Outras bombas; elevadores de líquidos:";
8413.81.00;-- Bombas;0
8413.82.00;-- Elevadores de líquidos;0
8413.9;- Partes:;
8413.91;-- De bombas;
8413.91.10;Hastes de bombeamento, dos tipos utilizados para extração de petróleo;0
8413.91.90;Outras;5
8413.92.00;-- De elevadores de líquidos;0
8414.10.00;- Bombas de vácuo;0
8414.20.00;- Bombas de ar, de mão ou de pé;5
8414.30;- Compressores dos tipos utilizados nos equipamentos frigoríficos;
8414.30.1;Motocompressores herméticos;
8414.30.11;Com capacidade inferior a 4.700 frigorias/hora;5
8414.30.19;Outros;0
8414.30.9;Outros;
8414.30.91;Com capacidade inferior ou igual a 16.000 frigorias/hora;5
8414.30.99;Outros;0
8414.40;- Compressores de ar montados sobre chassis com rodas e rebocáveis;
8414.40.10;De deslocamento alternativo;0
8414.40.20;De parafuso;0
8414.40.90;Outros;0
8414.5;- Ventiladores:;
8414.51;-- Ventiladores de mesa, de pé, de parede, de teto ou de janela, com motor elétrico incorporado de potência não superior a 125 W;
8414.51.10;De mesa;15
8414.51.20;De teto;15
8414.51.90;Outros;15
8414.59;-- Outros;
8414.59.10;Microventiladores com área de carcaça inferior a 90 cm2;5
8414.59.90;Outros;0
8414.60.00;- Coifas com dimensão horizontal máxima não superior a 120 cm;10
8414.80;- Outros;
8414.80.1;Compressores de ar;
8414.80.11;Estacionários, de pistão;0
8414.80.12;De parafuso;0
8414.80.13;De lóbulos paralelos (tipo Roots);0
8414.80.19;Outros;0
8414.80.2;Turbocompressores de ar;
8414.80.21;Turboalimentadores de ar, de peso inferior ou igual a 50 kg para motores das posições 84.07 ou 84.08, acionado pelos gases de escapamento dos mesmos;5
8414.80.22;Turboalimentadores de ar, de peso superior a 50 kg para motores das posições 84.07 ou 84.08, acionados pelos gases de escapamento dos mesmos;5
8414.80.29;Outros;0
8414.80.3;Compressores de gases (exceto ar);
8414.80.31;De pistão;0
8414.80.32;De parafuso;0
8414.80.33;Centrífugos, de vazão máxima inferior a 22.000 m3/h;0
8414.80.38;Outros compressores centrífugos;0
8414.80.39;Outros;0
8414.80.90;Outros;0
8414.90;- Partes;
8414.90.10;De bombas;5
8414.90.20;De ventiladores ou coifas aspirantes;5
8414.90.3;De compressores;
8414.90.31;Pistões ou êmbolos;5
8414.90.32;Anéis de segmento;5
8414.90.33;Blocos de cilindros, cabeçotes e cárteres;5
8414.90.34;Válvulas;5
8414.90.39;Outras;0
8415.10;- Dos tipos utilizados em paredes ou janelas, formando um corpo único ou do tipo split-system (sistema com elementos separados);
8415.10.1;Com capacidade inferior ou igual a 30.000 frigorias/hora;
8415.10.11;Do tipo split-system (sistema com elementos separados);20
8415.10.19;Outros;20
8415.10.90;Outros;20
8415.20;- Do tipo dos utilizados para o conforto dos passageiros nos veículos automóveis;
8415.20.10;Com capacidade inferior ou igual a 30.000 frigorias/hora;20
8415.20.90;Outros;20
8415.8;- Outros:;
8415.81;-- Com dispositivo de refrigeração e válvula de inversão do ciclo térmico (bombas de calor reversíveis);
8415.81.10;Com capacidade inferior ou igual a 30.000 frigorias/hora;20
8415.81.90;Outros;0
8415.82;-- Outros, com dispositivo de refrigeração;
8415.82.10;Com capacidade inferior ou igual a 30.000 frigorias/hora;20
8415.82.90;Outros;0
8415.83.00;-- Sem dispositivo de refrigeração;20
8415.90;- Partes;
8415.90.10;Unidades evaporadoras (internas) de aparelho de ar-condicionado do tipo split-system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora;20
8415.90.20;Unidades condensadoras (externas) de aparelho de ar-condicionado do tipo split-system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora;20
8415.90.90;Outras;20
8416.10.00;- Queimadores de combustíveis líquidos;0
8416.20;- Outros queimadores, incluindo os mistos;
8416.20.10;De gases;0
8416.20.90;Outros;0
8416.30.00;- Fornalhas automáticas, incluindo as antefornalhas, grelhas mecânicas, descarregadores mecânicos de cinzas e dispositivos semelhantes;0
8416.90.00;- Partes;5
8417.10;- Fornos para ustulação, fusão ou outros tratamentos térmicos de minérios ou de metais;
8417.10.10;Fornos industriais para fusão de metais;0
8417.10.20;Fornos industriais para tratamento térmico de metais;0
8417.10.90;Outros;0
8417.20.00;- Fornos de padaria, pastelaria ou para a indústria de bolachas e biscoitos;0
8417.80;- Outros;
8417.80.10;Fornos industriais para cerâmica;0
8417.80.20;Fornos industriais para fusão de vidro;0
8417.80.90;Outros;0
8417.90.00;- Partes;0
8418.10.00;- Combinações de refrigeradores e congeladores (freezers), munidos de portas exteriores separadas;15
8418.2;- Refrigeradores do tipo doméstico:;
8418.21.00;-- De compressão;15
8418.29.00;-- Outros;15
8418.30.00;- Congeladores (freezers) horizontais tipo arca, de capacidade não superior a 800 l;15
8418.40.00;- Congeladores (freezers) verticais tipo armário, de capacidade não superior a 900 l;15
8418.50;- Outros móveis (arcas, armários, vitrines, balcões e móveis semelhantes) para a conservação e exposição de produtos, que incorporem um equipamento para a produção de frio;
8418.50.10;Congeladores (freezers);0
8418.50.90;Outros;0
8418.6;"- Outros materiais, máquinas e aparelhos, para a produção de frio; bombas de calor:";
8418.61.00;-- Bombas de calor, excluindo as máquinas e aparelhos de ar-condicionado da posição 84.15;0
8418.69;-- Outros;
8418.69.10;Máquinas não domésticas para preparação de sorvetes;0
8418.69.20;Resfriadores de leite;0
8418.69.3;Unidades fornecedoras de água, sucos ou bebidas carbonatadas;
8418.69.31;De água ou sucos;15
8418.69.32;De bebidas carbonatadas;0
8418.69.40;Grupos frigoríficos de compressão com capacidade inferior ou igual a 30.000 frigorias/hora.;0
8418.69.9;Outros;
8418.69.91;Resfriadores de água, de absorção por brometo de lítio;5
8418.69.99;Outros;15
8418.9;- Partes:;
8418.91.00;-- Móveis concebidos para receber um equipamento para a produção de frio;15
8418.99.00;-- Outras;15
8419.1;- Aquecedores de água não elétricos, de aquecimento instantâneo ou de acumulação:;
8419.11.00;-- De aquecimento instantâneo, a gás;5
8419.19;-- Outros;
8419.19.10;Aquecedores solares de água;0
8419.19.90;Outros;5
8419.20.00;- Esterilizadores médico-cirúrgicos ou de laboratório;5
8419.3;- Secadores:;
8419.31.00;-- Para produtos agrícolas;0
8419.32.00;-- Para madeiras, pastas de papel, papéis ou cartões;0
8419.39.00;-- Outros;0
8419.40;- Aparelhos de destilação ou de retificação;
8419.40.10;De destilação de água;0
8419.40.20;De destilação ou retificação de álcoois e outros fluídos voláteis ou de hidrocarbonetos;0
8419.40.90;Outros;0
8419.50;- Trocadores de calor;
8419.50.10;De placas;0
8419.50.2;Tubulares;
8419.50.21;Metálicos;0
8419.50.22;De grafita;0
8419.50.29;Outros;0
8419.50.90;Outros;0
8419.60.00;- Aparelhos e dispositivos para liquefação do ar ou de outros gases;0
8419.8;- Outros aparelhos e dispositivos:;
8419.81;-- Para preparação de bebidas quentes ou para cozimento ou aquecimento de alimentos;
8419.81.10;Autoclaves;0
8419.81.90;Outros;0
8419.89;-- Outros;
8419.89.1;Esterilizadores;
8419.89.11;De alimentos, mediante Ultra Alta Temperatura (UHT - Ultra High Temperature) por injeção direta de vapor, com capacidade superior ou igual a 6.500 l/h;0
8419.89.19;Outros;0
8419.89.20;Estufas;0
8419.89.30;Torrefadores;0
8419.89.40;Evaporadores;0
8419.89.9;Outros;
8419.89.91;Recipiente refrigerador, com dispositivo de circulação de fluido refrigerante;8
8419.89.99;Outros;5
8419.90;- Partes;
8419.90.10;De aquecedores de água das subposições 8419.11 ou 8419.19;5
8419.90.20;De colunas de destilação ou de retificação;5
8419.90.3;De trocadores de calor, de placas;
8419.90.31;Placa corrugada, de aço inoxidável ou de alumínio, com superfície de troca térmica de área superior a 0,4 m2;5
8419.90.39;Outras;0
8419.90.40;De aparelhos ou dispositivos das subposições 8419.81 ou 8419.89;5
8419.90.90;Outras;5
8420.10;- Calandras e laminadores;
8420.10.10;Para papel ou cartão;0
8420.10.90;Outros;0
8420.9;- Partes:;
8420.91.00;-- Cilindros;5
8420.99.00;-- Outras;5
8421.1;- Centrifugadores, incluindo os secadores centrífugos:;
8421.11;-- Desnatadeiras;
8421.11.10;Com capacidade de processamento de leite superior ou igual a 30.000 l/h;0
8421.11.90;Outras;0
8421.12;-- Secadores de roupa;
8421.12.10;Com capacidade, expressa em peso de roupa seca, inferior ou igual a 6 kg;20
8421.12.90;Outros;20
8421.19;-- Outros;
8421.19.10;Centrifugadores para laboratórios de análises, ensaios ou pesquisas científicas;0
8421.19.90;Outros;0
8421.2;- Aparelhos para filtrar ou depurar líquidos:;
8421.21.00;-- Para filtrar ou depurar água;0
8421.22.00;-- Para filtrar ou depurar bebidas, exceto água;0
8421.23.00;-- Para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;8
8421.29;-- Outros;
8421.29.1;Hemodialisadores;
8421.29.11;Capilares;0
8421.29.19;Outros;0
8421.29.20;Aparelho de osmose inversa;0
8421.29.30;Filtros-prensa;0
8421.29.90;Outros;0
8421.3;- Aparelhos para filtrar ou depurar gases:;
8421.31.00;-- Filtros de entrada de ar para motores de ignição por centelha ou por compressão;8
8421.39;-- Outros;
8421.39.10;Filtros eletrostáticos;0
8421.39.20;Depuradores por conversão catalítica de gases de escape de veículos;5
8421.39.30;Concentradores de oxigênio por depuração do ar, com capacidade de saída inferior ou igual a 6 l/min;0
8421.39.90;Outros;0
8421.9;- Partes:;
8421.91;-- De centrifugadores, incluindo as dos secadores centrífugos;
8421.91.10;De secadores de roupa do item 8421.12.10;8
8421.91.9;Outras;
8421.91.91;Tambores rotativos com pratos ou discos separadores, de peso superior a 300 kg;8
8421.91.99;Outras;8
8421.99;-- Outras;
8421.99.10;De aparelhos para filtrar ou depurar gases, da subposição 8421.39;8
8421.99.20;Dos tipos utilizados em linhas de sangue para hemodiálise;8
8421.99.9;Outras;
8421.99.91;Cartuchos de membrana de aparelhos de osmose inversa;8
8421.99.99;Outras;8
8422.1;- Máquinas de lavar louça:;
8422.11.00;-- Do tipo doméstico;20
8422.19.00;-- Outras;20
8422.20.00;- Máquinas e aparelhos para limpar ou secar garrafas ou outros recipientes;0
8422.30;"- Máquinas e aparelhos para encher, fechar, arrolhar ou rotular garrafas, caixas, latas, sacos ou outros recipientes; máquinas e aparelhos para capsular garrafas, vasos, tubos e recipientes semelhantes; máquinas e aparelhos para gaseificar bebidas";
8422.30.10;Máquinas e aparelhos para encher, fechar, arrolhar, capsular ou rotular garrafas;0
8422.30.2;"Máquinas e aparelhos para encher, fechar, arrolhar ou rotular caixas, latas, sacos ou outros recipientes; Máquinas e aparelhos para capsular vasos, tubos e recipientes semelhantes";
8422.30.21;Para encher caixas ou sacos com pó ou grãos;0
8422.30.22;Para encher e fechar embalagens confeccionadas com papel ou cartão dos subitens 4811.51.22 ou 4811.59.23, mesmo com dispositivo de rotulagem;0
8422.30.23;Para encher e fechar recipientes tubulares flexíveis (bisnagas), com capacidade superior ou igual a 100 unidades por minuto;0
8422.30.29;Outros;0
8422.30.30;Para gaseificar bebidas;0
8422.40;- Outras máquinas e aparelhos para empacotar ou embalar mercadorias (incluindo as máquinas e aparelhos para embalar com película termo-retrátil);
8422.40.10;Horizontais, próprias para empacotamento de massas alimentícias longas (comprimento superior a 200 mm) em pacotes tipo almofadas (pillow pack), com capacidade de produção superior a 100 pacotes por minuto e controlador lógico programável (CLP);0
8422.40.20;Automática, para embalar tubos ou barras de metal, em atados de peso inferior ou igual a 2.000 kg e comprimento inferior ou igual a 12 m;0
8422.40.30;De empacotar embalagens confeccionadas com papel ou cartão dos subitens 4811.51.22 ou 4811.59.23 em caixas ou bandejas de papel ou cartão dobráveis, com capacidade superior ou igual a 5.000 embalagens por hora;0
8422.40.90;Outros;0
8422.90;- Partes;
8422.90.10;De máquinas de lavar louça, de uso doméstico;20
8422.90.90;Outras;5
8423.10.00;"- Balanças para pessoas, incluindo as balanças para bebês; balanças de uso doméstico";10
8423.20.00;- Básculas de pesagem contínua em transportadores;0
8423.30;- Básculas de pesagem constante e balanças e básculas ensacadoras ou dosadoras;
8423.30.1;Dosadoras;
8423.30.11;Com aparelhos periféricos, que constituam unidade funcional;0
8423.30.19;Outras;0
8423.30.90;Outras;0
8423.8;- Outros aparelhos e instrumentos de pesagem:;
8423.81;-- De capacidade não superior a 30 kg;
8423.81.10;De mesa, com dipositivo registrador ou impressor de etiquetas;5
8423.81.90;Outros;5
8423.82.00;-- De capacidade superior a 30 kg, mas não superior a 5.000 kg;0
8423.89.00;-- Outros;0
8423.90;"- Pesos para quaisquer balanças; partes de aparelhos ou instrumentos de pesagem";
8423.90.10;Pesos;10
8423.90.2;Partes;
8423.90.21;De aparelhos ou instrumentos da subposição 8423.10;10
8423.90.29;Outras;10
8424.10.00;- Extintores, mesmo carregados;8
8424.20.00;- Pistolas aerográficas e aparelhos semelhantes;5
8424.30;- Máquinas e aparelhos de jato de areia, de jato de vapor e aparelhos de jato semelhantes;
8424.30.10;Máquinas e aparelhos de desobstrução de tubulação ou de limpeza, por jato de água;0
8424.30.20;De jato de areia própria para desgaste localizado de peças de vestuário;0
8424.30.30;Perfuradoras por jato de água com pressão de trabalho máxima superior ou igual a 10 MPa;0
8424.30.90;Outros;0
8424.8;- Outros aparelhos:;
8424.81;-- Para agricultura ou horticultura;
8424.81.1;Para projetar, dispersar ou pulverizar fungicidas, inseticidas e outros produtos para combate a pragas;
8424.81.11;Aparelhos manuais;0
8424.81.19;Outros;0
8424.81.2;Irrigadores e sistemas de irrigação;
8424.81.21;Por aspersão;0
8424.81.29;Outros;0
8424.81.90;Outros;0
8424.89;-- Outros;
8424.89.10;Aparelhos de pulverização constituídos por botão de pressão com bocal (tampa “spray”), válvula do tipo aerossol, junta de estanqueidade (junta de canopla) e tubo de imersão, montados sobre um corpo metálico (canopla), dos tipos utilizados para serem montados no gargalo de recipientes, para projetar líquidos, pós ou espumas;5
8424.89.20;Aparelhos automáticos para projetar lubrificantes sobre pneumáticos, contendo uma estação de secagem por ar pré-aquecido e dispositivos para agarrar e movimentar pneumáticos;5
8424.89.90;Outros;5
8424.90;- Partes;
8424.90.10;De aparelhos da subposição 8424.10 ou do subitem 8424.81.11;5
8424.90.90;Outras;5
8425.1;- Talhas, cadernais e moitões:;
8425.11.00;-- De motor elétrico;0
8425.19;-- Outros;
8425.19.10;Talhas, cadernais e moitões, manuais;0
8425.19.90;Outros;0
8425.3;"- Guinchos; cabrestantes:";
8425.31;-- De motor elétrico;
8425.31.10;Com capacidade inferior ou igual a 100 t;0
8425.31.90;Outros;0
8425.39;-- Outros;
8425.39.10;Com capacidade inferior ou igual a 100 t;0
8425.39.90;Outros;0
8425.4;- Macacos:;
8425.41.00;-- Elevadores fixos de veículos, para garagens (oficinas);0
8425.42.00;-- Outros macacos, hidráulicos;0
8425.49;-- Outros;
8425.49.10;Manuais;5
8425.49.90;Outros;0
8426.1;- Pontes e vigas, rolantes, pórticos, pontes-guindastes e carros-pórticos:;
8426.11.00;-- Pontes e vigas, rolantes, de suportes fixos;0
8426.12.00;-- Pórticos móveis de pneumáticos e carros-pórticos;0
8426.19.00;-- Outros;0
8426.20.00;- Guindastes de torre;0
8426.30.00;- Guindastes de pórtico;0
8426.4;- Outras máquinas e aparelhos, autopropulsados:;
8426.41;-- De pneumáticos;
8426.41.10;Com deslocamento em sentido longitudinal, transversal e diagonal (tipo caranguejo) com capacidade de carga superior ou igual a 60 t;0
8426.41.90;Outros;0
8426.49;-- Outros;
8426.49.10;De lagartas, com capacidade de elevação superior ou igual a 70 t;0
8426.49.90;Outros;0
8426.9;- Outras máquinas e aparelhos:;
8426.91.00;-- Próprios para serem montados em veículos rodoviários;0
8426.99.00;-- Outros;0
8427.10;- Autopropulsados, de motor elétrico;
8427.10.1;Empilhadeiras;
8427.10.11;De capacidade de carga superior a 6,5 t;0
8427.10.19;Outras;0
8427.10.90;Outros;0
8427.20;- Outros, autopropulsados;
8427.20.10;Empilhadeiras com capacidade de carga superior a 6,5 t;0
8427.20.90;Outros;0
8427.90.00;- Outros;0
8428.10.00;- Elevadores e monta-cargas;0
8428.20;- Aparelhos elevadores ou transportadores, pneumáticos;
8428.20.10;Transportadores tubulares (transvasadores) móveis, acionados com motor de potência superior a 90 kW (120 HP);0
8428.20.90;Outros;0
8428.3;- Outros aparelhos elevadores ou transportadores, de ação contínua, para mercadorias:;
8428.31.00;-- Especialmente concebidos para uso subterrâneo;0
8428.32.00;-- Outros, de caçamba;0
8428.33.00;-- Outros, de tira ou correia;0
8428.39;-- Outros;
8428.39.10;De correntes;0
8428.39.20;De rolos motores;0
8428.39.30;De pinças laterais, do tipo dos utilizados para o transporte de jornais;0
8428.39.90;Outros;0
8428.40.00;- Escadas e tapetes, rolantes;10
8428.60.00;"- Teleféricos (incluindo as telecadeiras e os telesquis); mecanismos de tração para funiculares";0
8428.90;- Outras máquinas e aparelhos;
8428.90.10;Do tipo dos utilizados para desembarque de botes salva-vidas, motorizados ou providos de dispositivo de compensação de inclinação;0
8428.90.20;Transportadores-elevadores (transelevadores) automáticos, de deslocamento horizontal sobre guias;0
8428.90.30;Máquina para formação de pilhas de jornais, dispostos em sentido alternado, de capacidade superior ou igual a 80.000 exemplares/h;0
8428.90.90;Outros;0
8429.1;- Bulldozers e angledozers:;
8429.11;-- De lagartas;
8429.11.10;De potência no volante superior ou igual a 387,76 kW (520 HP);0
8429.11.90;Outros;0
